name,commodity,date,value
Samoa,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,93
Niue,Sugars and sugar confectionery,2018-01-01,18
Niue,Meat and edible meat offal,2018-01-01,89
Wallis and Futuna Islands,"Vegetable, fruit, nut, etc food preparations",2018-01-01,94
Fiji,Miscellaneous edible preparations,2018-01-01,2162
Kiribati,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,92
New Caledonia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2018-01-01,41
Marshall Islands,"Cereal, flour, starch, milk preparations and products",2018-01-01,46
French Polynesia,Tobacco and manufactured tobacco substitutes,2018-01-01,146
Cook Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2018-01-01,1
Kiribati,Cocoa and cocoa preparations,2018-01-01,0
Federated State of Micronesia,"Vegetable, fruit, nut, etc food preparations",2018-01-01,1
Solomon Islands,Edible vegetables and certain roots and tubers,2018-01-01,1412
Samoa,Cereals,2018-01-01,71
Papua New Guinea,"Meat, fish and seafood food preparations nes",2018-01-01,1146
Fiji,Sugars and sugar confectionery,2018-01-01,3178
Vanuatu,"Coffee, tea, mate and spices",2018-01-01,10
Fiji,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,6464
French Polynesia,Edible vegetables and certain roots and tubers,2018-01-01,4445
Wallis and Futuna Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,5
Fiji,Meat and edible meat offal,2018-01-01,14235
Vanuatu,Cocoa and cocoa preparations,2018-01-01,44
Cook Islands,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,181
Niue,Miscellaneous edible preparations,2018-01-01,45
Samoa,"Vegetable, fruit, nut, etc food preparations",2018-01-01,1080
Vanuatu,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,358
Marshall Islands,"Vegetable, fruit, nut, etc food preparations",2018-01-01,18
New Caledonia,"Coffee, tea, mate and spices",2018-01-01,70
Marshall Islands,"Beverages, spirits and vinegar",2018-01-01,42
Kiribati,"Meat, fish and seafood food preparations nes",2018-01-01,288
Samoa,"Meat, fish and seafood food preparations nes",2018-01-01,503
Papua New Guinea,"Vegetable, fruit, nut, etc food preparations",2018-01-01,2546
Solomon Islands,Cocoa and cocoa preparations,2018-01-01,42
Federated State of Micronesia,"Meat, fish and seafood food preparations nes",2018-01-01,170
Nauru,Cocoa and cocoa preparations,2018-01-01,29
Tonga,Miscellaneous edible preparations,2018-01-01,419
Wallis and Futuna Islands,Miscellaneous edible preparations,2018-01-01,92
Tonga,"Cereal, flour, starch, milk preparations and products",2018-01-01,247
Fiji,"Vegetable, fruit, nut, etc food preparations",2018-01-01,2437
Solomon Islands,"Beverages, spirits and vinegar",2018-01-01,941
French Polynesia,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,2661
Papua New Guinea,"Beverages, spirits and vinegar",2018-01-01,1426
Nauru,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,283
Vanuatu,Tobacco and manufactured tobacco substitutes,2018-01-01,139
Fiji,"Cereal, flour, starch, milk preparations and products",2018-01-01,1994
Vanuatu,Edible vegetables and certain roots and tubers,2018-01-01,1892
Niue,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,73
French Polynesia,Cocoa and cocoa preparations,2018-01-01,113
Wallis and Futuna Islands,Cereals,2018-01-01,3
Niue,Cereals,2018-01-01,5
French Polynesia,"Beverages, spirits and vinegar",2018-01-01,237
Papua New Guinea,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,5666
Marshall Islands,Miscellaneous edible preparations,2018-01-01,15
Nauru,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,25
Marshall Islands,"Meat, fish and seafood food preparations nes",2018-01-01,79
Niue,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,17
Papua New Guinea,Cocoa and cocoa preparations,2018-01-01,422
Vanuatu,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,38
Cook Islands,"Cereal, flour, starch, milk preparations and products",2018-01-01,305
Federated State of Micronesia,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,490
Samoa,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,1211
Tonga,"Vegetable, fruit, nut, etc food preparations",2018-01-01,369
Samoa,Meat and edible meat offal,2018-01-01,2212
Tonga,"Beverages, spirits and vinegar",2018-01-01,482
Nauru,Meat and edible meat offal,2018-01-01,878
Nauru,"Edible fruit, nuts, peel of citrus fruit, melons",2018-01-01,380
Fiji,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,18510
Federated State of Micronesia,"Cereal, flour, starch, milk preparations and products",2018-01-01,120
New Caledonia,Meat and edible meat offal,2018-01-01,3320
Solomon Islands,"Vegetable, fruit, nut, etc food preparations",2018-01-01,259
Cook Islands,Miscellaneous edible preparations,2018-01-01,408
Cook Islands,Sugars and sugar confectionery,2018-01-01,350
Nauru,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,100
Wallis and Futuna Islands,Edible vegetables and certain roots and tubers,2018-01-01,167
Wallis and Futuna Islands,Tobacco and manufactured tobacco substitutes,2018-01-01,0
Papua New Guinea,"Coffee, tea, mate and spices",2018-01-01,206
Papua New Guinea,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,10681
Cook Islands,Edible vegetables and certain roots and tubers,2018-01-01,910
Samoa,"Cereal, flour, starch, milk preparations and products",2018-01-01,962
Kiribati,Cereals,2018-01-01,15
Vanuatu,"Beverages, spirits and vinegar",2018-01-01,911
Fiji,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,587
French Polynesia,"Vegetable, fruit, nut, etc food preparations",2018-01-01,1176
Wallis and Futuna Islands,Sugars and sugar confectionery,2018-01-01,212
Federated State of Micronesia,Meat and edible meat offal,2018-01-01,18
Kiribati,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,2
Papua New Guinea,Cereals,2018-01-01,278639
New Caledonia,Cocoa and cocoa preparations,2018-01-01,69
Marshall Islands,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,146
Solomon Islands,"Cereal, flour, starch, milk preparations and products",2018-01-01,197
Marshall Islands,Meat and edible meat offal,2018-01-01,3
Nauru,"Meat, fish and seafood food preparations nes",2018-01-01,170
Marshall Islands,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,345
Kiribati,"Coffee, tea, mate and spices",2018-01-01,3
New Caledonia,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,249
Federated State of Micronesia,Cereals,2018-01-01,0
Nauru,"Coffee, tea, mate and spices",2018-01-01,14
New Caledonia,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,2515
Cook Islands,Tobacco and manufactured tobacco substitutes,2018-01-01,8
French Polynesia,"Cereal, flour, starch, milk preparations and products",2018-01-01,1946
Fiji,"Animal,vegetable fats and oils, cleavage products, et",2018-01-01,6203
Vanuatu,"Meat, fish and seafood food preparations nes",2018-01-01,103
Samoa,Cocoa and cocoa preparations,2018-01-01,50
French Polynesia,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2018-01-01,105
Kiribati,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,185
New Caledonia,"Milling products, malt, starches, inulin, wheat glute",2018-01-01,1160
Niue,"Vegetable, fruit, nut, etc food preparations",2018-01-01,87
Solomon Islands,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2018-01-01,799
Kiribati,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,0
Papua New Guinea,Meat and edible meat offal,2018-01-01,36281
Fiji,Cereals,2018-01-01,245965
Marshall Islands,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,1
Tonga,Sugars and sugar confectionery,2018-01-01,84
Wallis and Futuna Islands,"Cereal, flour, starch, milk preparations and products",2018-01-01,20
New Caledonia,"Dairy products, eggs, honey, edible animal product nes",2018-01-01,5221
Tonga,Edible vegetables and certain roots and tubers,2018-01-01,1085
Niue,"Cereal, flour, starch, milk preparations and products",2018-01-01,35
Federated State of Micronesia,Cocoa and cocoa preparations,2018-01-01,0
Kiribati,Meat and edible meat offal,2018-01-01,1650
Papua New Guinea,"Fish, crustaceans, molluscs, aquatic invertebrates ne",2018-01-01,1207
