DATAFLOW,FREQ: Frequency,INDICATOR: Indicator,IMPORTER: Importer,EXPORTER: Exporter,COMMODITY: Commodity,TIME_PERIOD: Time,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,VU: Vanuatu,EUR: Europe,02: Meat and edible meat offal,2018,66,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",1996,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",1997,4,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",1998,2,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",1999,18,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2000,74,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2001,99,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2002,21,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2003,32,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2004,94,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2005,301,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2006,210,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2007,454,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2008,516,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2009,366,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2010,393,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2011,217,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2012,426,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2013,515,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2014,167,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2015,204,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2016,214,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2017,159,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,ASI: Asia,"15: Animal,vegetable fats and oils, cleavage products, et",2018,281,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,NU: Niue,AME: Americas,10: Cereals,2018,19,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,_U: Unknown,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2003,1,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,NC: New Caledonia,_U: Unknown,"12: Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2010,59,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PW: Palau,_U: Unknown,02: Meat and edible meat offal,2018,8,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,1999,2,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2002,89,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2004,880,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2005,15,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2006,275,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2008,476,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2009,22,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2010,354,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2011,135,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2012,129,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2013,268,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2014,21,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2015,75,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2016,9,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2017,4,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,KI: Kiribati,PICT: Pacific Islands Countries and Territories,10: Cereals,2018,6,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1995,13,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1996,29,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1997,19,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1998,28,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",1999,35,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2000,34,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2001,31,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2002,29,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2003,48,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2004,58,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2005,85,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2006,91,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2007,72,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2008,67,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2009,62,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2010,49,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2011,46,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2012,42,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2013,47,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2014,42,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2015,61,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2016,63,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2017,53,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,CK: Cook Islands,AU_NZ: Australia and New Zealand,"03: Fish, crustaceans, molluscs, aquatic invertebrates ne",2018,66,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",1995,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",1996,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",1997,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",1999,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2001,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2002,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2003,1,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2004,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2005,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2006,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2007,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2008,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2016,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,FM: Federated State of Micronesia,EUR: Europe,"20: Vegetable, fruit, nut, etc food preparations",2009,50,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TK: Tokelau,EUR: Europe,"04: Dairy products, eggs, honey, edible animal product nes",2001,14,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TK: Tokelau,EUR: Europe,"04: Dairy products, eggs, honey, edible animal product nes",2003,1,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TK: Tokelau,EUR: Europe,"04: Dairy products, eggs, honey, edible animal product nes",2007,7,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TK: Tokelau,EUR: Europe,"04: Dairy products, eggs, honey, edible animal product nes",2008,5,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TK: Tokelau,EUR: Europe,"04: Dairy products, eggs, honey, edible animal product nes",2009,10,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TK: Tokelau,EUR: Europe,"04: Dairy products, eggs, honey, edible animal product nes",2011,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TK: Tokelau,EUR: Europe,"04: Dairy products, eggs, honey, edible animal product nes",2013,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TK: Tokelau,EUR: Europe,"04: Dairy products, eggs, honey, edible animal product nes",2018,5,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TK: Tokelau,ASI: Asia,"16: Meat, fish and seafood food preparations nes",2002,1,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,1995,30,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,1996,49,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,1997,67,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,1998,86,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,1999,47,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2000,39,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2001,73,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2002,40,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2003,52,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2004,78,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2005,82,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2006,96,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2007,132,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2008,117,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2009,117,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2010,112,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2011,108,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2012,136,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2013,91,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2014,121,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2015,129,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2016,95,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2017,121,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PF: French Polynesia,AME: Americas,18: Cocoa and cocoa preparations,2018,127,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,"08: Edible fruit, nuts, peel of citrus fruit, melons",1996,81,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,"08: Edible fruit, nuts, peel of citrus fruit, melons",1999,38,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,"08: Edible fruit, nuts, peel of citrus fruit, melons",2000,112,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,"08: Edible fruit, nuts, peel of citrus fruit, melons",2001,62,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,"08: Edible fruit, nuts, peel of citrus fruit, melons",2002,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,"08: Edible fruit, nuts, peel of citrus fruit, melons",2011,70,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,"08: Edible fruit, nuts, peel of citrus fruit, melons",2012,4,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,"08: Edible fruit, nuts, peel of citrus fruit, melons",2014,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,"08: Edible fruit, nuts, peel of citrus fruit, melons",2017,7,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,24: Tobacco and manufactured tobacco substitutes,1998,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,24: Tobacco and manufactured tobacco substitutes,2000,19,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,24: Tobacco and manufactured tobacco substitutes,2011,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,24: Tobacco and manufactured tobacco substitutes,2012,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,24: Tobacco and manufactured tobacco substitutes,2013,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,PG: Papua New Guinea,AME: Americas,24: Tobacco and manufactured tobacco substitutes,2015,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TO: Tonga,AFR: Africa,"04: Dairy products, eggs, honey, edible animal product nes",2007,0,TON: tonnes,,,,
